,id,year,month,lat,lon,country,land_use_type,crop_primary,crop_secondary,water,intensity,source_type,source_class,source_description,use_validation
96,172653,2016,8,13.87002649,99.95209678,Thailand,1,15,0,2,1,ground,,mobile_application,False
97,172648,2016,8,13.84628747,100.00974625,Thailand,1,15,0,2,1,ground,,mobile_application,False
98,172646,2016,8,13.77248642,100.09023458,Thailand,1,22,3,1,1,ground,,mobile_application,False
99,172644,2016,8,13.64406548,100.09068228,Thailand,1,3,0,2,1,ground,,mobile_application,False
100,172642,2016,8,13.63716535,100.0652144,Thailand,1,3,0,2,1,ground,,mobile_application,False
101,172641,2016,8,13.63871527,100.05531075,Thailand,1,3,0,2,1,ground,,mobile_application,False
102,172637,2016,8,13.66502339,99.96797157,Thailand,1,3,0,2,0,ground,,mobile_application,False
104,172634,2016,8,13.62535559,99.92050089,Thailand,1,20,20,2,4,ground,,mobile_application,False
105,172632,2016,8,13.56302221,99.83800356,Thailand,1,3,0,2,1,ground,,mobile_application,False
106,172631,2016,8,13.51204733,99.70751169,Thailand,1,17,0,1,1,ground,,mobile_application,False
107,172629,2016,8,13.51309006,99.65337395,Thailand,1,15,0,1,1,ground,,mobile_application,False
109,172626,2016,8,13.5287875,99.57728108,Thailand,1,17,0,1,1,ground,,mobile_application,False
111,172622,2016,8,13.54227444,99.62580665,Thailand,1,3,0,1,1,ground,,mobile_application,False
112,172618,2016,8,13.582132099999999,99.63490934,Thailand,1,21,0,1,4,ground,,mobile_application,False
113,172617,2016,8,13.60066251,99.63057886,Thailand,1,17,0,1,1,ground,,mobile_application,False
115,172615,2016,8,13.34142079,99.80200242,Thailand,1,3,0,2,1,ground,,mobile_application,False
116,172614,2016,8,13.34011442,99.79825735,Thailand,1,3,0,2,1,ground,,mobile_application,False
117,172613,2016,8,13.33010761,99.78583875,Thailand,1,3,0,2,1,ground,,mobile_application,False
118,172608,2016,8,13.11725249,99.87576544,Thailand,1,3,0,2,1,ground,,mobile_application,False
119,172607,2016,8,13.09941965,99.87248135,Thailand,1,3,0,2,1,ground,,mobile_application,False
