model,labeling,split_percent,pretrain,arch,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
BEN,balanced,100,False,InceptionV3,1.13363778591156,1888.0,554.0,1475.0,147.0,0.8275098204612732,0.7731367945671082,0.9277641177177429,0.8542837500572205,0.8434219429315611,0.8186154202606436
BEN,balanced,1,False,Xception,4.16263484954834,1729.0,720.0,1312.0,303.0,0.7482775449752808,0.7060024738311768,0.850885808467865,0.7534829378128052,0.7717027516438946,0.7484848616360193
BEN,balanced,50,False,ResNet101V2,2.2656874656677246,1686.0,420.0,1610.0,348.0,0.8110235929489136,0.8005697727203369,0.8289085626602173,0.8226552605628967,0.8144927431144422,0.809798254469658
BEN,balanced,50,False,InceptionV3,1.1193052530288696,1663.0,407.0,1624.0,370.0,0.8088090419769287,0.803381621837616,0.8180029392242432,0.8536556363105774,0.8106263544923898,0.8081969689991856
BEN,expanded,25,False,Xception,10.634378433227539,4872.0,1691.0,3801.0,612.0,0.7901785969734192,0.7423434257507324,0.8884026408195496,0.7965548634529114,0.8088320718369291,0.7853841949433508
BEN,expanded,25,False,ResNet50,3.9446210861206055,4859.0,1673.0,3817.0,627.0,0.7904518842697144,0.7438762784004211,0.8857091069221497,0.8220137357711792,0.8086204014062027,0.7858220930797957
BEN,expanded,25,False,ResNet152,1.671244502067566,4801.0,1647.0,3840.0,688.0,0.7872630953788757,0.7445719838142395,0.8746584057807922,0.8222888708114624,0.8043897255595366,0.78341040574008
BEN,expanded,25,False,ResNet101V2,2.201864242553711,4886.0,1691.0,3799.0,600.0,0.7912718653678894,0.7428919076919556,0.8906307220458984,0.8090745806694031,0.810080428767517,0.7863734059765143
BEN,expanded,25,False,InceptionV3,2.276888847351074,4875.0,1686.0,3798.0,617.0,0.7901785969734192,0.7430269718170166,0.8876547813415527,0.8001707792282104,0.8089272390784819,0.7856989347891438
BEN,expanded,100,False,InceptionV3,2.3284554481506348,5002.0,1850.0,3639.0,485.0,0.7872630953788757,0.7300058603286743,0.9116092324256897,0.8058114051818848,0.8107626263156613,0.7819290401992567
BEN,balanced,25,False,InceptionV3,1.344804048538208,1731.0,517.0,1516.0,300.0,0.7989665269851685,0.7700178027153015,0.8522894978523254,0.8098729848861694,0.809067537554631,0.7956182035383867
BEN,balanced,25,False,ResNet101V2,3.471522092819214,1750.0,474.0,1557.0,283.0,0.8137302994728088,0.7868704795837402,0.8607968688011169,0.8582295775413513,0.8221752353612907,0.810060163908848
BEN,balanced,25,False,ResNet152,0.674423098564148,1791.0,503.0,1527.0,243.0,0.8164370059967041,0.7807323336601257,0.8805309534072876,0.8892046809196472,0.8276339957252667,0.8113862741131145
